Rate,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
8500,open,1000.0,0.0,1428.9679999999998,1.9916,1.1984000000000001,1.5752000000000002,417.496
8500,query,1000.0,0.0,2955.488,0.018799999999999997,0.0,0.0,2940.796
8500,transfer,1000.0,0.0,1506.2520000000002,2.0224,1.1528,1.5856000000000001,410.844
8600,open,1000.0,0.0,1452.668,1.9944,1.2176,1.6084,407.288
8600,query,1000.0,0.0,3022.264,0.0192,0.0,0.0004,3004.74
8600,transfer,1000.0,0.0,1530.104,2.1216,1.23,1.6780000000000002,392.26800000000003
8700,open,1000.0,0.0,1485.06,2.0244,1.1987999999999999,1.6336000000000002,408.244
8700,query,1000.0,0.0,3028.4120000000003,0.024,0.0,0.0004,3007.656
8700,transfer,1000.0,0.0,1570.2120000000002,2.0343999999999998,1.1612,1.5888,407.764
8800,open,1000.0,0.0,1437.6960000000001,2.0136,1.2107999999999999,1.5896000000000001,414.98400000000004
8800,query,1000.0,0.0,2938.5879999999997,0.02,0.0,0.0004,2918.888
8800,transfer,1000.0,0.0,1505.18,2.146,1.0492,1.6068,389.376
8900,open,1000.0,0.0,1400.068,1.9124,1.1516,1.5224000000000002,424.548
8900,query,1000.0,0.0,2930.6440000000002,0.0252,0.0,0.0004,2912.6079999999997
8900,transfer,1000.0,0.0,1475.9,2.124,1.2712,1.6707999999999998,387.30400000000003
9000,open,1000.0,0.0,1407.2679999999998,1.9912,1.2595999999999998,1.5944,406.144
9000,query,1000.0,0.0,2952.1279999999997,0.0204,0.0,0.0,2932.264
9000,transfer,1000.0,0.0,1487.588,2.2852,1.19,1.734,369.86800000000005
9100,open,1000.0,0.0,1423.648,1.9252,1.146,1.5448,416.55199999999996
9100,query,1000.0,0.0,2905.34,0.018799999999999997,0.0,0.0,2887.9840000000004
9100,transfer,1000.0,0.0,1492.108,2.1328,1.0952,1.6328,388.95599999999996
9200,open,1000.0,0.0,1418.82,1.9464000000000001,1.212,1.5732,411.964
9200,query,1000.0,0.0,2929.612,0.022000000000000002,0.0,0.0,2913.58
9200,transfer,1000.0,0.0,1472.476,2.1,1.0428,1.6219999999999999,393.92400000000004
9300,open,1000.0,0.0,1406.4160000000002,1.9347999999999999,1.1543999999999999,1.5248,425.50800000000004
9300,query,1000.0,0.0,2883.636,0.022000000000000002,0.0,0.0,2850.38
9300,transfer,1000.0,0.0,1465.156,1.9875999999999998,1.1604,1.5515999999999999,412.92
9400,open,1000.0,0.0,1388.808,1.8936000000000002,1.1340000000000001,1.5124000000000002,430.45599999999996
9400,query,1000.0,0.0,2930.0359999999996,0.0248,0.0,0.0,2912.196
9400,transfer,1000.0,0.0,1476.664,1.9828000000000001,1.2288,1.5824,411.524
9500,open,1000.0,0.0,1355.692,1.8544,1.1216,1.4856,425.108
9500,query,1000.0,0.0,2818.256,0.024399999999999998,0.0,0.0004,2793.3
9500,transfer,1000.0,0.0,1475.568,2.1376,1.1708,1.6436,391.62
9600,open,1000.0,0.0,1391.172,1.8808,1.168,1.5036,431.19599999999997
9600,query,1000.0,0.0,2871.288,0.024399999999999998,0.0,0.0004,2853.3559999999998
9600,transfer,1000.0,0.0,1467.144,2.01,1.1384,1.5819999999999999,404.12800000000004
9700,open,1000.0,0.0,1378.704,1.9628,1.1676,1.5496,417.74800000000005
9700,query,1000.0,0.0,2841.0679999999998,0.0196,0.0,0.0,2817.46
9700,transfer,1000.0,0.0,1456.364,2.1756,1.102,1.6764,385.22
9800,open,1000.0,0.0,1415.4720000000002,1.9544,1.1516,1.5468000000000002,422.792
9800,query,1000.0,0.0,2887.88,0.022400000000000003,0.0,0.0,2867.9959999999996
9800,transfer,1000.0,0.0,1482.4560000000001,2.0136,1.1044,1.6447999999999998,402.336
9900,open,1000.0,0.0,1418.7079999999999,1.9668,1.1964,1.5612000000000001,412.8
9900,query,1000.0,0.0,2873.232,0.0204,0.0,0.0,2855.196
9900,transfer,1000.0,0.0,1461.568,1.9528,1.112,1.5288,414.152
10000,open,1000.0,0.0,1422.9479999999999,1.912,1.248,1.5632,425.444
10000,query,1000.0,0.0,2928.236,0.0204,0.0,0.0,2913.8759999999997
10000,transfer,1000.0,0.0,1464.796,2.1924,1.2564,1.6864,382.43199999999996
